,date,open,high,low,close,volume
0,2021-01-01 00:00:00,28923.63000000,29031.34000000,28690.17000000,28995.13000000,2311.81144500
1,2021-01-01 01:00:00,28995.13000000,29470.00000000,28960.35000000,29409.99000000,5403.06847100
2,2021-01-01 02:00:00,29410.00000000,29465.26000000,29120.03000000,29194.65000000,2384.23156000
3,2021-01-01 03:00:00,29195.25000000,29367.00000000,29150.02000000,29278.40000000,1461.34507700
4,2021-01-01 04:00:00,29278.41000000,29395.00000000,29029.40000000,29220.31000000,2038.04680300
5,2021-01-01 05:00:00,29220.31000000,29235.28000000,29084.11000000,29187.01000000,1469.95626200
6,2021-01-01 06:00:00,29187.01000000,29270.00000000,29077.32000000,29174.35000000,1420.72629100
7,2021-01-01 07:00:00,29174.35000000,29191.98000000,28806.54000000,29092.83000000,2380.18091800
8,2021-01-01 08:00:00,29092.84000000,29178.03000000,28872.24000000,29000.01000000,2008.16573900
9,2021-01-01 09:00:00,29000.01000000,29307.73000000,28970.00000000,29202.21000000,2022.05602200
10,2021-01-01 10:00:00,29202.21000000,29344.97000000,29152.88000000,29223.82000000,1944.25584100
11,2021-01-01 11:00:00,29223.82000000,29402.57000000,29212.44000000,29313.49000000,2309.22771700
12,2021-01-01 12:00:00,29313.49000000,29600.00000000,29150.00000000,29233.49000000,4191.91516100
13,2021-01-01 13:00:00,29233.49000000,29470.00000000,29200.00000000,29464.79000000,2211.29829000
14,2021-01-01 14:00:00,29464.79000000,29530.00000000,29266.15000000,29327.84000000,2612.67217000
15,2021-01-01 15:00:00,29327.83000000,29391.00000000,29030.14000000,29188.67000000,2779.06389400
16,2021-01-01 16:00:00,29188.67000000,29360.00000000,29125.00000000,29300.57000000,1490.32948400
17,2021-01-01 17:00:00,29300.79000000,29339.76000000,28937.00000000,29079.64000000,2504.97709900
18,2021-01-01 18:00:00,29077.59000000,29259.98000000,28624.57000000,29072.70000000,4226.43004100
19,2021-01-01 19:00:00,29072.70000000,29125.32000000,28950.00000000,29029.04000000,1629.22872100
20,2021-01-01 20:00:00,29029.04000000,29279.72000000,28880.37000000,29200.96000000,1838.54908200
21,2021-01-01 21:00:00,29200.97000000,29289.82000000,29130.00000000,29160.39000000,1447.22964100
22,2021-01-01 22:00:00,29163.17000000,29326.74000000,29104.57000000,29262.32000000,1127.03589700
